-- 03_business_queries.sql
-- ----------------------------------------------------------------
-- MySQL source:
-- SELECT
--     channel,
--     ROUND(AVG(cost_efficiency_ratio), 3)                  AS avg_revenue_per_dollar,
--     ROUND(SUM(revenue_generated) / NULLIF(SUM(amount_spent), 0), 3) AS portfolio_revenue_per_dollar,
--     ROUND(AVG(revenue_per_click), 2)                      AS avg_revenue_per_click,
--     ROUND(AVG(revenue_per_impression), 5)                 AS avg_revenue_per_impression,
--     ROUND(AVG(amount_spent), 2)                           AS avg_spend,
--     RANK() OVER (ORDER BY AVG(cost_efficiency_ratio) DESC) AS efficiency_rank
-- FROM marketing_campaigns
-- GROUP BY channel
-- ORDER BY avg_revenue_per_dollar DESC;

-- Result: 10 row(s)

          channel  avg_revenue_per_dollar  portfolio_revenue_per_dollar  avg_revenue_per_click  avg_revenue_per_impression  avg_spend  efficiency_rank
              SEO                   2.917                         2.795                   3.14                     0.10826   19475.00                1
            Email                   2.858                         2.678                   2.42                     0.06985   21335.36                2
        Affiliate                   2.854                         2.609                   2.57                     0.05747   20132.44                3
Content Marketing                   2.166                         1.985                   3.37                     0.06193   18952.24                4
       Google Ads                   1.958                         2.012                   4.82                     0.18775   20597.25                5
     Facebook Ads                   1.643                         1.743                   2.25                     0.03599   19561.56                6
       Influencer                   1.625                         1.582                   1.77                     0.01472   18639.48                7
          YouTube                   1.336                         1.358                   0.83                     0.00462   19899.44                8
     Social Media                   1.241                         1.332                   1.45                     0.01822   19851.11                9
    Instagram Ads                   1.231                         1.229                   1.58                     0.01568   19657.83               10
