-- 03_business_queries.sql
-- ----------------------------------------------------------------
-- MySQL source:
-- WITH monthly AS (
--     SELECT
--         DATE_FORMAT(start_date, '%Y-%m-01')  AS month,
--         SUM(revenue_generated)               AS revenue,
--         SUM(amount_spent)                    AS spend,
--         COUNT(*)                             AS campaigns
--     FROM marketing_campaigns
--     GROUP BY DATE_FORMAT(start_date, '%Y-%m-01')
-- )
-- SELECT
--     month,
--     ROUND(revenue, 2)                                                AS revenue,
--     ROUND(spend, 2)                                                  AS spend,
--     campaigns,

-- Result: 35 row(s)

     month     revenue      spend  campaigns  mom_growth_pct  rolling_3m_revenue  rolling_12m_revenue
2022-01-01 11737629.90 6124877.37        297             NaN         11737629.90          11737629.90
2022-02-01 10573726.78 5847539.76        289           -9.92         11155678.34          11155678.34
2022-03-01 11262307.55 5727411.20        289            6.51         11191221.41          11191221.41
2022-04-01 11251152.56 5641886.50        279           -0.10         11029062.30          11206204.20
2022-05-01 12036981.23 5967479.34        303            6.98         11516813.78          11372359.60
2022-06-01 10620378.36 5600015.49        291          -11.77         11302837.38          11247029.40
2022-07-01 12189304.52 5283738.78        290           14.77         11615554.70          11381640.13
2022-08-01 11248305.17 5255021.27        284           -7.72         11352662.69          11364973.26
2022-09-01  9086930.10 4818773.36        270          -19.22         10841513.27          11111857.35
2022-10-01 14264420.99 6933216.87        322           56.98         11533218.75          11427113.72
2022-11-01 10491880.34 5568395.52        301          -26.45         11281077.14          11342092.50
2022-12-01 11470034.77 5750762.17        302            9.32         12075445.37          11352754.36
2023-01-01  9302026.92 5213186.91        270          -18.90         10421314.01          11149787.44
2023-02-01  8436747.40 4819445.40        276           -9.30          9736269.70          10971705.83
2023-03-01 10730695.51 5945196.92        281           27.19          9489823.28          10927404.82
2023-04-01 12012592.21 6067268.21        295           11.95         10393345.04          10990858.13
2023-05-01 10407256.23 5691280.72        303          -13.36         11050181.32          10855047.71
2023-06-01 12082799.72 5839972.15        280           16.10         11500882.72          10976916.16
2023-07-01 12289103.57 5817621.50        276            1.71         11593053.17          10985232.74
2023-08-01  9901748.19 5863755.93        287          -19.43         11424550.50          10873019.66
2023-09-01 11493454.99 5453380.29        298           16.08         11228102.25          11073563.40
2023-10-01 11077515.24 5545493.29        280           -3.62         10824239.47          10807987.92
2023-11-01  9951993.85 5301376.85        288          -10.16         10840988.03          10762997.38
2023-12-01  9661924.26 4728924.72        263           -2.91         10230477.78          10612321.51
2024-01-01  9722518.83 5572739.66        283            0.63          9778812.31          10647362.50
2024-02-01 10414774.93 5427079.57        261            7.12          9933072.67          10812198.13
2024-03-01 11620048.73 5877424.53        278           11.57         10585780.83          10886310.90
2024-04-01  9568280.37 4729759.84        268          -17.66         10534368.01          10682618.24
2024-05-01 12690178.69 6779260.63        312           32.63         11292835.93          10872861.78
2024-06-01 12646611.73 5344703.14        277           -0.34         11635023.59          10919846.11
2024-07-01 12818746.10 5846893.72        279            1.36         12718512.17          10963982.99
2024-08-01 10863239.64 5677337.48        274          -15.26         12109532.49          11044107.28
2024-09-01 11366841.51 5758125.54        273            4.64         11682942.42          11033556.16
2024-10-01 11847589.62 5924030.81        291            4.23         11359223.59          11097729.02
2024-11-01 11723196.34 6625966.60        285           -1.05         11645875.82          11245329.23
