-- 03_business_queries.sql
-- ----------------------------------------------------------------
-- MySQL source:
-- WITH monthly AS (
--     SELECT
--         DATE_FORMAT(start_date, '%Y-%m-01') AS month,
--         SUM(revenue_generated)              AS revenue,
--         SUM(profit)                         AS profit,
--         COUNT(*)                            AS campaigns
--     FROM marketing_campaigns
--     GROUP BY DATE_FORMAT(start_date, '%Y-%m-01')
-- )
-- SELECT
--     month,
--     ROUND(revenue, 2)                                              AS monthly_revenue,
--     ROUND(SUM(revenue) OVER (ORDER BY month), 2)                   AS cumulative_revenue,
--     ROUND(profit, 2)                                               AS monthly_profit,

-- Result: 35 row(s)

     month  monthly_revenue  cumulative_revenue  monthly_profit  cumulative_profit  campaigns  cumulative_campaigns  pct_of_total
2022-01-01      11737629.90         11737629.90      5612752.54         5612752.54        297                 297.0         3.018
2022-02-01      10573726.78         22311356.68      4726187.02        10338939.56        289                 586.0         2.719
2022-03-01      11262307.55         33573664.23      5534896.37        15873835.93        289                 875.0         2.896
2022-04-01      11251152.56         44824816.80      5609266.08        21483102.01        279                1154.0         2.893
2022-05-01      12036981.23         56861798.02      6069501.88        27552603.89        303                1457.0         3.095
2022-06-01      10620378.36         67482176.38      5020362.89        32572966.78        291                1748.0         2.731
2022-07-01      12189304.52         79671480.91      6905565.74        39478532.52        290                2038.0         3.135
2022-08-01      11248305.17         90919786.08      5993283.90        45471816.42        284                2322.0         2.893
2022-09-01       9086930.10        100006716.18      4268156.76        49739973.18        270                2592.0         2.337
2022-10-01      14264420.99        114271137.17      7331204.14        57071177.32        322                2914.0         3.668
2022-11-01      10491880.34        124763017.51      4923484.82        61994662.14        301                3215.0         2.698
2022-12-01      11470034.77        136233052.28      5719272.61        67713934.75        302                3517.0         2.950
2023-01-01       9302026.92        145535079.20      4088840.03        71802774.78        270                3787.0         2.392
2023-02-01       8436747.40        153971826.60      3617302.02        75420076.80        276                4063.0         2.170
2023-03-01      10730695.51        164702522.11      4785498.62        80205575.42        281                4344.0         2.760
2023-04-01      12012592.21        176715114.31      5945324.01        86150899.43        295                4639.0         3.089
2023-05-01      10407256.23        187122370.54      4715975.50        90866874.93        303                4942.0         2.676
2023-06-01      12082799.72        199205170.27      6242827.59        97109702.52        280                5222.0         3.107
2023-07-01      12289103.57        211494273.84      6471482.09       103581184.61        276                5498.0         3.160
2023-08-01       9901748.19        221396022.03      4037992.27       107619176.88        287                5785.0         2.546
2023-09-01      11493454.99        232889477.02      6040074.72       113659251.60        298                6083.0         2.956
2023-10-01      11077515.24        243966992.26      5532021.96       119191273.56        280                6363.0         2.849
2023-11-01       9951993.85        253918986.11      4650617.01       123841890.57        288                6651.0         2.559
2023-12-01       9661924.26        263580910.37      4932999.55       128774890.12        263                6914.0         2.485
2024-01-01       9722518.83        273303429.20      4149779.18       132924669.30        283                7197.0         2.500
2024-02-01      10414774.93        283718204.13      4987695.38       137912364.68        261                7458.0         2.678
2024-03-01      11620048.73        295338252.85      5742624.20       143654988.88        278                7736.0         2.988
2024-04-01       9568280.37        304906533.22      4838520.53       148493509.41        268                8004.0         2.461
2024-05-01      12690178.69        317596711.91      5910918.08       154404427.49        312                8316.0         3.263
2024-06-01      12646611.73        330243323.63      7301908.59       161706336.08        277                8593.0         3.252
2024-07-01      12818746.10        343062069.74      6971852.39       168678188.47        279                8872.0         3.296
2024-08-01      10863239.64        353925309.38      5185902.17       173864090.64        274                9146.0         2.794
2024-09-01      11366841.51        365292150.88      5608715.97       179472806.61        273                9419.0         2.923
2024-10-01      11847589.62        377139740.50      5923558.82       185396365.43        291                9710.0         3.047
2024-11-01      11723196.34        388862936.84      5097229.74       190493595.17        285                9995.0         3.015
